LATEX ERROR FULL REPORT
============================================================
Total errors: 5150
question_text: 755
options: 462
explanation: 3933
============================================================

JM652 | question_text | Malformed trig^2 inside \frac numerator
JM652 | explanation | Missing \frac: {{{\sec \theta - 1}}{{\tan \theta}}
JM652 | explanation | Missing \frac: {{{1 - \cos \theta }}{{\sin \theta}}
JM652 | explanation | Missing \frac: {{{df}}{{dg}}
JM652 | explanation | Missing backslash before: tan
JM652 | explanation | Missing backslash before: tan
JM652 | explanation | Missing backslash before: sin
JM652 | explanation | Missing backslash before: sin
JM652 | explanation | Missing backslash before: tan
JM652 | explanation | Missing backslash before: tan
JM652 | explanation | Missing backslash before: sin
JM652 | explanation | Malformed trig^2 inside \frac numerator
JM652 | explanation | Malformed trig^2 inside \frac numerator
JM652 | explanation | Malformed trig^2 inside \frac numerator
JM652 | explanation | Malformed trig^2 inside \frac numerator
JM652 | explanation | Malformed trig^2 inside \frac numerator
JM653 | explanation | Missing \frac: {{dy}}{{dx}}
JM653 | explanation | Missing \frac: {{dy}}{{dx}}
JM654 | question_text | Missing backslash before: cos
JM654 | explanation | Missing backslash before: cos
JM654 | explanation | Missing backslash before: sec
JM656 | explanation | Missing \frac: {{{dy}}{{d\theta}}
JM656 | explanation | Missing \frac: {{dx}}{{d\theta}}
JM656 | explanation | Missing backslash before: sin
JM656 | explanation | Missing backslash before: sin
JM657 | question_text | Missing backslash before: sin
JM657 | question_text | Missing backslash before: tan
JM657 | question_text | Missing backslash before: sin
JM657 | question_text | Missing backslash before: cot
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: cot
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: cos
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: cos
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: cos
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: tan
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM657 | explanation | Missing backslash before: sin
JM658 | explanation | Missing \frac: {{2x}}{{2\sqrt {1 - {x^2}}
JM658 | explanation | Missing \frac: {{xy}}{{\sqrt {1 - {y^2}}
JM659 | explanation | Missing \frac: {{{\cos \alpha }}{{\sin \alpha}}
JM659 | explanation | Missing \frac: {{dy}}{{d\alpha}}
JM659 | explanation | Missing backslash before: sin
JM659 | explanation | Missing backslash before: cos
JM659 | explanation | Missing backslash before: sin
JM659 | explanation | Missing backslash before: sin
JM659 | explanation | Missing backslash before: cot
JM660 | explanation | Missing \frac: {{dy}}{{dx}}
JM660 | explanation | Missing \frac: {{dy}}{{dx}}
JM661 | explanation | Malformed trig^2 inside \frac numerator
JM661 | explanation | Malformed trig^2 inside \frac numerator
JM661 | explanation | Malformed trig^2 inside \frac numerator
JM661 | explanation | Malformed trig^2 inside \frac numerator
JM662 | explanation | Missing \frac: {{{2\sqrt x }}{{1 - x}}
JM662 | explanation | Missing \frac: {{{1 - x}}{{1 + x}}
JM662 | explanation | Malformed trig^2 inside \frac numerator
JM663 | explanation | Missing \frac: {{dy}}{{dx}}
JM663 | explanation | Missing \frac: {{dy}}{{dx}}
JM663 | explanation | Missing backslash before: ln
JM666 | explanation | Missing \frac: {{dx}}{{dy}}
JM667 | question_text | Malformed trig^2 inside \frac numerator
JM667 | explanation | Malformed trig^2 inside \frac numerator
JM668 | question_text | Missing \frac: {{f'(4)}}{{f'(2)}}
JM668 | explanation | Missing backslash before: ln
JM670 | question_text | Malformed trig^2 inside \frac numerator
JM670 | explanation | Missing \frac: {{{1 - \sin \theta }}{{\cos \theta}}
JM670 | explanation | Malformed trig^2 inside \frac numerator
JM672 | explanation | Missing \frac: {{23}}{{4\sqrt 2}}
